ID,Posted at,Screen name,Text
378325039428698112,2013-09-13 01:11:32 +0000,thisisaaronland,remember when I used to post photos to the internet / yeah me too
378175191064387585,2013-09-12 15:16:06 +0000,thisisaaronland,"am I the only one sort of hoping that the NSA will answer zuckerberg's critique with nothing more than ""move fast and break things"" ?"
377228263762178048,2013-09-10 00:33:21 +0000,thisisaaronland,am I the only one who looks out at the 9/11 lights and sees the NSA staring down at them from the heavens ?
377122267966091264,2013-09-09 17:32:09 +0000,thisisaaronland,does anyone else see an endless gauntlet of server farms and data centers whenever they look down park avenue ?
377085359126880256,2013-09-09 15:05:30 +0000,thisisaaronland,PREVIOUSLY UNREMARKABLE AND ASSUMED PIECE OF CRAP EMBUED WITH BRAND NAME AWARENESS THUS BLOSSOMING LIKE BUTTERFLY ON WINGS OF PEER PRESSURE
376712105560641536,2013-09-08 14:22:19 +0000,thisisaaronland,has anyone put together a hierarchy of acceptable product derivatives for museum objects yet ?
375993028462141440,2013-09-06 14:44:58 +0000,thisisaaronland,am I the only one completely weirded out by all the francis bacon references in the robocop trailer ?
375770339793698817,2013-09-06 00:00:05 +0000,thisisaaronland,does this mean we can file a computer fraud and abuse act lawsuit against the NSA / so confused
375588231129337856,2013-09-05 11:56:27 +0000,thisisaaronland,I would totally add chiseled triangular depth to my redacted
374281812652347392,2013-09-01 21:25:12 +0000,thisisaaronland,am I the only one wondering why motorhead hasn't done a pet shop boys cover album yet ?
373618574470176768,2013-08-31 01:29:44 +0000,thisisaaronland,that part where I did not even notice the cheese-eating ass-hattery of the new flickr logo / because I've basically stopped using the site
372540144852946944,2013-08-28 02:04:26 +0000,thisisaaronland,currently debating a class titled / everything you need to know about programming you already learned making lasagne
371430493520408576,2013-08-25 00:35:05 +0000,thisisaaronland,artisanal loveintegers
370923058233876480,2013-08-23 14:58:43 +0000,thisisaaronland,why has no one started a rumour that the rain room is just recycled tears harvested from abramović's the artist is present therapy sessions?
370685288424960000,2013-08-22 23:13:54 +0000,thisisaaronland,if a museum were served with a national security letter would it be allowed to acquire it?
370198573679263744,2013-08-21 14:59:52 +0000,thisisaaronland,have we collected enough code names to build NSA lorem ipsum yet / so confused
370183768784773120,2013-08-21 14:01:02 +0000,thisisaaronland,say what you want about nokia but the power buttons on their phones never routinely broke / maybe it's a flaw inherent in all fondleslabs ?
369654474094424064,2013-08-20 02:57:49 +0000,thisisaaronland,can we send two GCHQ security experts to sunnyvale to destroy the hard drive with the 30 days of yahoo logos on it ?
369468886078328833,2013-08-19 14:40:21 +0000,thisisaaronland,can we all just agree that PRISM basically renders the powers of ten films moot at this point ?
367440238547070976,2013-08-14 00:19:14 +0000,thisisaaronland,why hasn't anyone crossbred corgis and dolphins yet ?
367026828726108160,2013-08-12 20:56:29 +0000,thisisaaronland,HYPERLOOP IS NOT READING YOUR EMAIL
366323790768111616,2013-08-10 22:22:52 +0000,thisisaaronland,currently debating harvesting the gowanus canal for a green rainbow of small batch painter's pigment
365959762237591553,2013-08-09 22:16:21 +0000,thisisaaronland,jason bourne is employed by the bill gates foundation / and other fan fictions you might mistake the plot of elysium for
365103055483572225,2013-08-07 13:32:06 +0000,thisisaaronland,"contemplating ""we have always been at war with BoCoCa"" gowanus heights t-shirts / possibly beer coasters"
364478318277427200,2013-08-05 20:09:37 +0000,thisisaaronland,when you think about it / tilda swinton’s film “Io sono l'amore” is kind of like an episode of doctor who
364471840938270722,2013-08-05 19:43:53 +0000,thisisaaronland,next time tilda swinton is in her sleepy time nap bed box cage let’s pretend it’s a tardis and she is the 13th doctor
364469556552540160,2013-08-05 19:34:48 +0000,thisisaaronland,imagine if tilda swinton’s sleepy time nap bed box cage was the interface for querying PRISM
364049254324502531,2013-08-04 15:44:40 +0000,thisisaaronland,try watching pacific rim now / that you know the “two-man rule” for downloading classified documents has gone in to effect at the NSA
